"id","type","name","province_id","latitude","longitude","created_at","updated_at","deleted_at"
"1","Kabupaten","Aceh Barat","21","4.45","96.16667","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"2","Kabupaten","Aceh Barat Daya","21","3.83333","96.88333","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"3","Kabupaten","Aceh Besar","21","5.38333","95.51667","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"4","Kabupaten","Aceh Jaya","21","4.86","95.64","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"5","Kabupaten","Aceh Selatan","21","3.16667","97.41667","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"6","Kabupaten","Aceh Singkil","21","2.41667","97.91667","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"7","Kabupaten","Aceh Tamiang","21","4.25","97.96667","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"8","Kabupaten","Aceh Tengah","21","4.51","96.855","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"9","Kabupaten","Aceh Tenggara","21","3.36667","97.7","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"10","Kabupaten","Aceh Timur","21","4.63333","97.63333","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"11","Kabupaten","Aceh Utara","21","4.97","97.14","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"12","Kabupaten","Agam","32","-0.25","100.16667","2021-10-20 15:19:47","2021-11-26 14:43:05",NULL
"13","Kabupaten","Alor","23","-8.3","124.56667","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"14","Kota","Ambon","19","-3.7","128.18333","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"15","Kabupaten","Asahan","34","2.78333","99.55","2021-10-20 15:19:47","2021-11-26 14:43:04",NULL
"16","Kabupaten","Asmat","24","-5.3795","138.46344","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"17","Kabupaten","Badung","1","-8.51667","115.2","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"18","Kabupaten","Balangan","13","-2.32314","115.62922","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"19","Kota","Balikpapan","15","-1.16667","116.88333","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"20","Kota","Banda Aceh","21","5.54167","95.33333","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"21","Kota","Bandar Lampung","18","-5.41667","105.25","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"22","Kabupaten","Bandung","9","-7.1","107.6","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"23","Kota","Bandung","9","-6.9175","107.62444","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"24","Kabupaten","Bandung Barat","9","-6.83333","107.48333","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"25","Kabupaten","Banggai","29","-1.2835","122.8892","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"26","Kabupaten","Banggai Kepulauan","29","-1.6424","123.54881","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"27","Kabupaten","Bangka","2","-1.91667","105.93333","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"28","Kabupaten","Bangka Barat","2","-1.95839","105.53741","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"29","Kabupaten","Bangka Selatan","2","-2.66803","106.01257","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"30","Kabupaten","Bangka Tengah","2","-2.33989","106.1142","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"31","Kabupaten","Bangkalan","11","-7.05","112.93333","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"32","Kabupaten","Bangli","1","-8.28333","115.35","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"33","Kabupaten","Banjar","13","-3.31667","115.08333","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"34","Kota","Banjar","9","-7.36996","108.53209","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"35","Kota","Banjar Baru","13","-3.41667","114.83333","2021-10-20 15:19:47","2021-11-26 14:47:07",NULL
"36","Kota","Banjarmasin","13","-3.32444","114.59102","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"37","Kabupaten","Banjarnegara","10","-7.35111","109.5875","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"38","Kabupaten","Bantaeng","28","-5.48333","119.98333","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"39","Kabupaten","Bantul","5","-7.9","110.36667","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"40","Kabupaten","Banyuasin","33","-2.88333","104.38306","2021-10-20 15:19:47","2021-11-26 14:47:06",NULL
"41","Kabupaten","Banyumas","10","-7.45","109.16667","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"42","Kabupaten","Banyuwangi","11","-8.33333","114.2","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"43","Kabupaten","Barito Kuala","13","-3.08333","114.61667","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"44","Kabupaten","Barito Selatan","14","-1.86667","114.73333","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"45","Kabupaten","Barito Timur","14","-1.93333","115.1","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"46","Kabupaten","Barito Utara","14","-0.98333","115.1","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"47","Kabupaten","Barru","28","-4.43333","119.68333","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"48","Kota","Batam","17","1.05211","104.02851","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"49","Kabupaten","Batang","10","-7.03333","109.88333","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"50","Kabupaten","Batang Hari","8","-1.75","103.11667","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"51","Kota","Batu","11","-7.83272","112.53751","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"52","Kabupaten","Batu Bara","34","3.16166","99.52652","2021-10-20 15:19:47","2021-11-26 14:43:04",NULL
"53","Kota","Bau-Bau","30","-5.477","122.6166","2021-10-20 15:19:47","2021-11-26 14:50:49",NULL
"54","Kabupaten","Bekasi","9","-6.24667","107.10833","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"55","Kota","Bekasi","9","-6.28333","106.98333","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"56","Kabupaten","Belitung","2","-2.86667","107.7","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"57","Kabupaten","Belitung Timur","2","-2.9627","108.15216","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"58","Kabupaten","Belu","23","-9.41258","124.95066","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"59","Kabupaten","Bener Meriah","21","4.73015","96.86156","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"60","Kabupaten","Bengkalis","26","0.9838","102.5096","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"61","Kabupaten","Bengkayang","12","1.06911","109.66393","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"62","Kota","Bengkulu","4","-3.81667","102.31667","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"63","Kabupaten","Bengkulu Selatan","4","-4.35","103.03333","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
